Fund Holdings as of,25-Apr-25,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
GEI,GIBSON ENERGY INC,Energy,Equity,"15,095,747.00",0.1,"15,095,747.00","684,925.00",22.04,Canada,Toronto Stock Exchange,CAD,1,CAD
FCR.UN,FIRST CAPITAL REALTY REAL ESTATE I,Real Estate,Equity,"14,989,943.16",0.1,"14,989,943.16","893,322.00",16.78,Canada,Toronto Stock Exchange,CAD,1,CAD
OGC,OCEANAGOLD CORPORATION CORP,Materials,Equity,"14,889,936.06",0.1,"14,889,936.06","2,989,947.00",4.98,Canada,Toronto Stock Exchange,CAD,1,CAD
PEY,PEYTO EXPLORATION & DEVELOPMENT CO,Energy,Equity,"14,844,373.65",0.1,"14,844,373.65","841,041.00",17.65,Canada,Toronto Stock Exchange,CAD,1,CAD
IGM,IGM FINANCIAL INC,Financials,Equity,"14,608,477.98",0.1,"14,608,477.98","340,286.00",42.93,Canada,Toronto Stock Exchange,CAD,1,CAD
SRU.UN,SMARTCENTRES RL ESTATE INVESTMENT,Real Estate,Equity,"13,814,577.40",0.09,"13,814,577.40","543,881.00",25.4,Canada,Toronto Stock Exchange,CAD,1,CAD
TA,TRANSALTA CORP,Utilities,Equity,"13,786,158.62",0.09,"13,786,158.62","1,105,546.00",12.47,Canada,Toronto Stock Exchange,CAD,1,CAD
DPM,DUNDEE PRECIOUS METALS INC,Materials,Equity,"13,490,817.84",0.09,"13,490,817.84","734,794.00",18.36,Canada,Toronto Stock Exchange,CAD,1,CAD
OLA,ORLA MINING LTD,Materials,Equity,"13,136,655.48",0.09,"13,136,655.48","886,414.00",14.82,Canada,Toronto Stock Exchange,CAD,1,CAD
USD,USD CASH,Cash and/or Derivatives,Cash,"13,036,167.66",0.09,"13,036,167.66","9,403,230.00",138.63,United States,-,CAD,0.72,USD
KNT,K92 MINING INC,Materials,Equity,"12,777,706.17",0.09,"12,777,706.17","1,005,327.00",12.71,Canada,Toronto Stock Exchange,CAD,1,CAD
MDA,MDA SPACE LTD,Industrials,Equity,"12,298,512.78",0.08,"12,298,512.78","459,414.00",26.77,Canada,Toronto Stock Exchange,CAD,1,CAD
DIR.UN,DREAM INDUSTRIAL REAL ESTATE INVES,Real Estate,Equity,"12,295,683.84",0.08,"12,295,683.84","1,164,364.00",10.56,Canada,Toronto Stock Exchange,CAD,1,CAD
ATS,ATS CORP,Industrials,Equity,"12,269,848.35",0.08,"12,269,848.35","350,067.00",35.05,Canada,Toronto Stock Exchange,CAD,1,CAD
MX,METHANEX CORP,Materials,Equity,"12,223,825.91",0.08,"12,223,825.91","283,813.00",43.07,Canada,Toronto Stock Exchange,CAD,1,CAD
SSL,SANDSTORM GOLD LTD,Materials,Equity,"12,068,077.98",0.08,"12,068,077.98","1,032,342.00",11.69,Canada,Toronto Stock Exchange,CAD,1,CAD
SSRM,SSR MINING INC,Materials,Equity,"12,031,200.72",0.08,"12,031,200.72","846,076.00",14.22,Canada,Toronto Stock Exchange,CAD,1,CAD
PBH,PREMIUM BRANDS HOLDINGS CORP,Consumer Staples,Equity,"12,012,135.82",0.08,"12,012,135.82","153,982.00",78.01,Canada,Toronto Stock Exchange,CAD,1,CAD
CXB,CALIBRE MINING CORP,Materials,Equity,"11,741,427.90",0.08,"11,741,427.90","3,601,665.00",3.26,Canada,Toronto Stock Exchange,CAD,1,CAD
BB,BLACKBERRY LTD,Information Technology,Equity,"11,608,520.40",0.08,"11,608,520.40","2,496,456.00",4.65,Canada,Toronto Stock Exchange,CAD,1,CAD
BLX,BORALEX INC CLASS A,Utilities,Equity,"11,538,117.99",0.08,"11,538,117.99","367,339.00",31.41,Canada,Toronto Stock Exchange,CAD,1,CAD
NWC,NORTH WEST COMPANY INC,Consumer Staples,Equity,"10,987,991.85",0.07,"10,987,991.85","200,255.00",54.87,Canada,Toronto Stock Exchange,CAD,1,CAD
FVI,FORTUNA MINING CORP,Materials,Equity,"10,897,274.32",0.07,"10,897,274.32","1,295,752.00",8.41,Canada,Toronto Stock Exchange,CAD,1,CAD
BEI.UN,BOARDWALK REAL ESTATE INVESTMENT T,Real Estate,Equity,"10,857,593.76",0.07,"10,857,593.76","168,387.00",64.48,Canada,Toronto Stock Exchange,CAD,1,CAD
HR.UN,HANDR REAL ESTATE INVESTMENT TRUST,Real Estate,Equity,"10,825,197.60",0.07,"10,825,197.60","1,104,612.00",9.8,Canada,Toronto Stock Exchange,CAD,1,CAD
TPZ,TOPAZ ENERGY CORP,Energy,Equity,"10,786,340.24",0.07,"10,786,340.24","458,408.00",23.53,Canada,Toronto Stock Exchange,CAD,1,CAD
EQB,EQB INC,Financials,Equity,"10,712,404.50",0.07,"10,712,404.50","115,150.00",93.03,Canada,Toronto Stock Exchange,CAD,1,CAD
SES,SECURE WASTE INFRASTRUCTURE CORP,Energy,Equity,"10,661,966.82",0.07,"10,661,966.82","811,413.00",13.14,Canada,Toronto Stock Exchange,CAD,1,CAD
WDO,WESDOME GOLD MINES LTD,Materials,Equity,"10,621,818.75",0.07,"10,621,818.75","630,375.00",16.85,Canada,Toronto Stock Exchange,CAD,1,CAD
ATH,ATHABASCA OIL CORP,Energy,Equity,"10,573,749.06",0.07,"10,573,749.06","2,189,182.00",4.83,Canada,Toronto Stock Exchange,CAD,1,CAD
EIF,EXCHANGE INCOME CORP,Industrials,Equity,"9,935,155.67",0.07,"9,935,155.67","197,087.00",50.41,Canada,Toronto Stock Exchange,CAD,1,CAD
GMIN,G MINING VENTURES CORP,Materials,Equity,"9,845,523.52",0.07,"9,845,523.52","522,032.00",18.86,Canada,Toronto Stock Exchange,CAD,1,CAD
