iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BA.,BAE SYSTEMS PLC,Industrials,Equity,"14,344,206.86",0.24,"14,344,206.86","640,608.00",22.39,United Kingdom,London Stock Exchange,USD,0.75,GBP,01-Jan-98
8058,MITSUBISHI CORP,Industrials,Equity,"14,095,422.12",0.24,"14,095,422.12","757,800.00",18.6,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
8035,TOKYO ELECTRON LTD,Information Technology,Equity,"14,080,569.54",0.24,"14,080,569.54","95,400.00",147.6,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
PRX,PROSUS NV CLASS N,Consumer Discretionary,Equity,"13,677,446.91",0.23,"13,677,446.91","294,986.00",46.37,Netherlands,Euronext Amsterdam,USD,0.88,EUR,-
2454,MEDIATEK INC,Information Technology,Equity,"13,667,358.71",0.23,"13,667,358.71","322,000.00",42.45,Taiwan,Taiwan Stock Exchange,USD,32.51,TWD,23-Jul-01
D05,DBS GROUP HOLDINGS LTD,Financials,Equity,"13,635,411.79",0.23,"13,635,411.79","423,390.00",32.21,Singapore,Singapore Exchange,USD,1.32,SGD,01-Jan-98
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,Equity,"13,600,366.04",0.23,"13,600,366.04","712,300.00",19.09,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
1211,BYD LTD H,Consumer Discretionary,Equity,"13,511,670.33",0.23,"13,511,670.33","264,000.00",51.18,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,Equity,"13,367,899.59",0.23,"13,367,899.59","455,570.00",29.34,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
INGA,ING GROEP NV,Financials,Equity,"13,136,221.82",0.22,"13,136,221.82","684,696.00",19.19,Netherlands,Euronext Amsterdam,USD,0.88,EUR,-
DB1,DEUTSCHE BOERSE AG,Financials,Equity,"13,122,392.16",0.22,"13,122,392.16","40,816.00",321.5,Germany,Xetra,USD,0.88,EUR,-
