iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"9433","KDDI CORP","Communication","Equity","11,678,889.40","0.21","11,678,889.40","656,900.00","17.78","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"INFY","INFOSYS LTD","Information Technology","Equity","11,673,017.58","0.21","11,673,017.58","702,036.00","16.63","India","National Stock Exchange Of India","USD","85.37","INR","-"
"RACE","FERRARI NV","Consumer Discretionary","Equity","11,609,550.19","0.20","11,609,550.19","26,498.00","438.13","Italy","Borsa Italiana","USD","0.88","EUR","-"
"BN","DANONE SA","Consumer Staples","Equity","11,546,136.38","0.20","11,546,136.38","137,949.00","83.70","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"SREN","SWISS RE AG","Financials","Equity","11,384,640.28","0.20","11,384,640.28","65,831.00","172.94","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","11,375,524.37","0.20","11,375,524.37","239,785.00","47.44","Australia","Asx - All Markets","USD","1.57","AUD","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","11,258,138.81","0.20","11,258,138.81","2,722,377.00","4.14","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","Sep 26, 1991"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","11,245,183.35","0.20","11,245,183.35","629,874.00","17.85","Australia","Asx - All Markets","USD","1.57","AUD","Jan 01, 1998"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","11,233,860.84","0.20","11,233,860.84","113,529.00","98.95","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BARC","BARCLAYS PLC","Financials","Equity","11,188,636.71","0.20","11,188,636.71","3,048,966.00","3.67","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"III","3I GROUP PLC","Financials","Equity","11,130,449.52","0.20","11,130,449.52","204,394.00","54.46","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"TRP","TC ENERGY CORP","Energy","Equity","10,899,429.94","0.19","10,899,429.94","220,926.00","49.34","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","10,773,626.66","0.19","10,773,626.66","252,400.00","42.68","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"1120","AL RAJHI BANK","Financials","Equity","10,714,748.68","0.19","10,714,748.68","411,925.00","26.01","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","10,482,582.82","0.18","10,482,582.82","15,212,285.00","0.69","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"INVE B","INVESTOR CLASS B","Financials","Equity","10,462,855.42","0.18","10,462,855.42","363,490.00","28.78","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","10,452,696.07","0.18","10,452,696.07","365,818.00","28.57","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","10,446,581.35","0.18","10,446,581.35","384,800.00","27.15","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"LONN","LONZA GROUP AG","Health Care","Equity","10,380,890.54","0.18","10,380,890.54","15,786.00","657.60","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"8031","MITSUI LTD","Industrials","Equity","10,059,186.47","0.18","10,059,186.47","547,500.00","18.37","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"ALC","ALCON AG","Health Care","Equity","9,916,016.29","0.17","9,916,016.29","107,862.00","91.93","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","9,891,394.91","0.17","9,891,394.91","337,513.00","29.31","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","9,870,037.03","0.17","9,870,037.03","136,296.00","72.42","Germany","Xetra","USD","0.88","EUR","-"
"HLN","HALEON PLC","Health Care","Equity","9,657,236.14","0.17","9,657,236.14","1,917,889.00","5.04","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","9,628,984.61","0.17","9,628,984.61","537,058.00","17.93","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"NWG","NATWEST GROUP PLC","Financials","Equity","9,620,621.64","0.17","9,620,621.64","1,584,892.00","6.07","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"SE","SEA ADS REPRESENTING LTD CLASS A","Communication","Equity","9,569,331.85","0.17","9,569,331.85","79,105.00","120.97","Singapore","New York Stock Exchange Inc.","USD","1.00","USD","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","9,533,026.30","0.17","9,533,026.30","199,000.00","47.90","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"9434","SOFTBANK CORP","Communication","Equity","9,526,754.89","0.17","9,526,754.89","6,252,400.00","1.52","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","9,471,882.12","0.17","9,471,882.12","145,774.00","64.98","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrials","Equity","9,468,076.44","0.17","9,468,076.44","96,345.00","98.27","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","9,455,942.91","0.17","9,455,942.91","973,100.00","9.72","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"DBK","DEUTSCHE BANK AG","Financials","Equity","9,316,626.29","0.16","9,316,626.29","397,007.00","23.47","Germany","Xetra","USD","0.88","EUR","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","9,112,537.02","0.16","9,112,537.02","264,540.00","34.45","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BAS","BASF N","Materials","Equity","9,024,441.58","0.16","9,024,441.58","189,528.00","47.62","Germany","Xetra","USD","0.88","EUR","-"
"GIVN","GIVAUDAN SA","Materials","Equity","8,897,271.78","0.16","8,897,271.78","1,931.00","4,607.60","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","8,829,405.20","0.16","8,829,405.20","154,865.00","57.01","Germany","Xetra","USD","0.88","EUR","-"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","8,790,017.39","0.15","8,790,017.39","567,605.00","15.49","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
