Fund Holdings as of,"Apr 17, 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"IGM","IGM FINANCIAL INC","Financials","Equity","14,391,558.02","0.10","14,391,558.02","342,086.00","42.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CS","CAPSTONE COPPER CORP","Materials","Equity","14,063,184.00","0.10","14,063,184.00","2,343,864.00","6.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SRU.UN","SMARTCENTRES RL ESTATE INVESTMENT","Real Estate","Equity","13,926,002.67","0.10","13,926,002.67","546,761.00","25.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OLA","ORLA MINING LTD","Materials","Equity","13,910,133.44","0.10","13,910,133.44","891,104.00","15.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TA","TRANSALTA CORP","Utilities","Equity","13,414,670.42","0.09","13,414,670.42","1,111,406.00","12.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KNT","K92 MINING INC","Materials","Equity","13,118,327.86","0.09","13,118,327.86","1,010,657.00","12.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","13,048,391.86","0.09","13,048,391.86","9,403,230.00","138.77","United States","-","CAD","0.72","USD"
"SSRM","SSR MINING INC","Materials","Equity","12,749,834.44","0.09","12,749,834.44","850,556.00","14.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DIR.UN","DREAM INDUSTRIAL REAL ESTATE INVES","Real Estate","Equity","12,302,312.34","0.08","12,302,312.34","1,170,534.00","10.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SSL","SANDSTORM GOLD LTD","Materials","Equity","12,194,291.00","0.08","12,194,291.00","1,037,812.00","11.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PBH","PREMIUM BRANDS HOLDINGS CORP","Consumer Staples","Equity","12,041,269.68","0.08","12,041,269.68","154,792.00","77.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATS","ATS CORP","Industrials","Equity","11,908,871.28","0.08","11,908,871.28","351,917.00","33.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CXB","CALIBRE MINING CORP","Materials","Equity","11,622,623.55","0.08","11,622,623.55","3,620,755.00","3.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FVI","FORTUNA MINING CORP","Materials","Equity","11,502,152.26","0.08","11,502,152.26","1,302,622.00","8.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MDA","MDA SPACE LTD","Industrials","Equity","11,375,217.72","0.08","11,375,217.72","461,844.00","24.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WDO","WESDOME GOLD MINES LTD","Materials","Equity","11,337,161.35","0.08","11,337,161.35","633,715.00","17.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BB","BLACKBERRY LTD","Information Technology","Equity","10,992,424.68","0.08","10,992,424.68","2,509,686.00","4.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TPZ","TOPAZ ENERGY CORP","Energy","Equity","10,967,944.40","0.07","10,967,944.40","460,838.00","23.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATH","ATHABASCA OIL CORP","Energy","Equity","10,959,894.36","0.07","10,959,894.36","2,200,782.00","4.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","10,915,841.46","0.07","10,915,841.46","1,110,462.00","9.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BLX","BORALEX INC CLASS A","Utilities","Equity","10,871,573.76","0.07","10,871,573.76","369,279.00","29.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NWC","NORTH WEST COMPANY INC","Consumer Staples","Equity","10,828,733.85","0.07","10,828,733.85","201,315.00","53.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GMIN","G MINING VENTURES CORP","Materials","Equity","10,789,723.52","0.07","10,789,723.52","524,792.00","20.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MX","METHANEX CORP","Materials","Equity","10,682,118.72","0.07","10,682,118.72","285,313.00","37.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQB","EQB INC","Financials","Equity","10,651,077.60","0.07","10,651,077.60","115,760.00","92.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
